Running Brodnik (C++) Stack Test...
AC - T7_random | Wall: 8.040000s | CPU User: 7.890000s | CPU Sys: 0.150000s | Max Memory: 43646976B
AC - T4_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_push_then_random | Wall: 0.070000s | CPU User: 0.070000s | CPU Sys: 0.000000s | Max Memory: 4587520B
AC - T1_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T8_random | Wall: 66.710000s | CPU User: 65.660000s | CPU Sys: 1.050000s | Max Memory: 403963904B
AC - T9_random | Wall: 651.560000s | CPU User: 641.650000s | CPU Sys: 9.910000s | Max Memory: 4004888576B
AC - T7_push_then_random | Wall: 7.060000s | CPU User: 6.900000s | CPU Sys: 0.160000s | Max Memory: 63569920B
AC - T4_push_then_random | Wall: 0.010000s | CPU User: 0.010000s | CPU Sys: 0.000000s | Max Memory: 4063232B
AC - T3_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T5_random | Wall: 0.100000s | CPU User: 0.100000s | CPU Sys: 0.000000s | Max Memory: 4194304B
AC - T2_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T3_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_then_random | Wall: 1.100000s | CPU User: 1.070000s | CPU Sys: 0.030000s | Max Memory: 9306112B
AC - T9_push_then_random | Wall: 698.910000s | CPU User: 687.490000s | CPU Sys: 11.420000s | Max Memory: 6005313536B
AC - T1_push_then_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_random | Wall: 1.020000s | CPU User: 0.990000s | CPU Sys: 0.030000s | Max Memory: 7340032B
AC - T8_push_then_random | Wall: 70.170000s | CPU User: 68.780000s | CPU Sys: 1.390000s | Max Memory: 603979776B
AC - T2_random | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T7_push_random_then_pop | Wall: 7.180000s | CPU User: 7.070000s | CPU Sys: 0.110000s | Max Memory: 57016320B
AC - T2_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
AC - T2_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3932160B
AC - T6_push_random_then_pop | Wall: 1.010000s | CPU User: 0.990000s | CPU Sys: 0.020000s | Max Memory: 8781824B
AC - T8_random_then_pop | Wall: 61.780000s | CPU User: 60.690000s | CPU Sys: 1.090000s | Max Memory: 403832832B
AC - T5_push_random_then_pop | Wall: 0.070000s | CPU User: 0.070000s | CPU Sys: 0.000000s | Max Memory: 4456448B
AC - T8_push_random_then_pop | Wall: 65.100000s | CPU User: 64.070000s | CPU Sys: 1.030000s | Max Memory: 537395200B
AC - T7_random_then_pop | Wall: 6.030000s | CPU User: 5.920000s | CPU Sys: 0.110000s | Max Memory: 43646976B
AC - T5_random_then_pop | Wall: 0.060000s | CPU User: 0.060000s | CPU Sys: 0.000000s | Max Memory: 4325376B
AC - T1_push_random_then_pop | Wall: 0.000000s | CPU User: 0.000000s | CPU Sys: 0.000000s | Max Memory: 3801088B
